title,brand,price,mrp,description,net_quantity,manufacturer,country_of_origin,mfg_date,expiry_date,platform,seller,product_url,image_urls,category,rating,reviews_count,extracted_at,compliance_score,issues_found
Unknown Product,,225.0,,,,,,,,amazon,,https://www.amazon.in/Tata-Sampann-Magnesium-Phosphorus-Watermelon/dp/B0CJ34592T/ref=sr_1_11?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRkBByudUv_LgXTGb0rMHitwghpq4-TzwfFtuXxlYoz4OCRike2DfnEJ1x1gJsQvTfqoTdlVx5-MPvgEjFpTjPJpX14kvLAB9gqCeAb1TYWdQDTHL1736vZ0A7ji4jQTuD8li862F-YT281gS0qcjsamvhFf_D-bTndB_zivcpSkDdtHclB_om7NijrUWxkPY5-4SwoioKW6OSqTFW7iYNz2pYHzxw0W88jwuQFhE_NybCJgHghkYsutkqqN9JoHJtysxV_4AGoJ-rkBmjkjr73k.4_n2WN5R_Dr9jtUe2iTDUpk3giC3cXxw8RaLgPFselE&dib_tag=se&keywords=organic+food+products&qid=1758821518&sr=8-11,https://m.media-amazon.com/images/I/71ljeZ5VsuL._AC_UL320_.jpg,,4.4,,2025-09-25 23:01:59,,
Unknown Product,,130.0,,,,,,,,amazon,,https://www.amazon.in/Conscious-Food-Jaggery-Powder-Sugarcane/dp/B08CMQ7QK7/ref=sr_1_12?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRkBByudUv_LgXTGb0rMHitwghpq4-TzwfFtuXxlYoz4OCRike2DfnEJ1x1gJsQvTfqoTdlVx5-MPvgEjFpTjPJpX14kvLAB9gqCeAb1TYWdQDTHL1736vZ0A7ji4jQTuD8li862F-YT281gS0qcjsamvhFf_D-bTndB_zivcpSkDdtHclB_om7NijrUWxkPY5-4SwoioKW6OSqTFW7iYNz2pYHzxw0W88jwuQFhE_NybCJgHghkYsutkqqN9JoHJtysxV_4AGoJ-rkBmjkjr73k.4_n2WN5R_Dr9jtUe2iTDUpk3giC3cXxw8RaLgPFselE&dib_tag=se&keywords=organic+food+products&qid=1758821518&sr=8-12,https://m.media-amazon.com/images/I/6185eCRbsbL._AC_UL320_.jpg,,4.1,,2025-09-25 23:01:59,,
Unknown Product,,98.0,,,,,,,,amazon,,https://www.amazon.in/TATA-Product-Substitute-Chemical-Digestion/dp/B084M3KZPS/ref=sr_1_13?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRkBByudUv_LgXTGb0rMHitwghpq4-TzwfFtuXxlYoz4OCRike2DfnEJ1x1gJsQvTfqoTdlVx5-MPvgEjFpTjPJpX14kvLAB9gqCeAb1TYWdQDTHL1736vZ0A7ji4jQTuD8li862F-YT281gS0qcjsamvhFf_D-bTndB_zivcpSkDdtHclB_om7NijrUWxkPY5-4SwoioKW6OSqTFW7iYNz2pYHzxw0W88jwuQFhE_NybCJgHghkYsutkqqN9JoHJtysxV_4AGoJ-rkBmjkjr73k.4_n2WN5R_Dr9jtUe2iTDUpk3giC3cXxw8RaLgPFselE&dib_tag=se&keywords=organic+food+products&qid=1758821518&sr=8-13,https://m.media-amazon.com/images/I/81+EUzlrRfL._AC_UL320_.jpg,,4.4,,2025-09-25 23:01:59,,
Unknown Product,,242.0,,,,,,,,amazon,,https://www.amazon.in/Divine-Foods-Sweetener-Alternative-Unrefined/dp/B09QJLKH6N/ref=sr_1_14?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRkBByudUv_LgXTGb0rMHitwghpq4-TzwfFtuXxlYoz4OCRike2DfnEJ1x1gJsQvTfqoTdlVx5-MPvgEjFpTjPJpX14kvLAB9gqCeAb1TYWdQDTHL1736vZ0A7ji4jQTuD8li862F-YT281gS0qcjsamvhFf_D-bTndB_zivcpSkDdtHclB_om7NijrUWxkPY5-4SwoioKW6OSqTFW7iYNz2pYHzxw0W88jwuQFhE_NybCJgHghkYsutkqqN9JoHJtysxV_4AGoJ-rkBmjkjr73k.4_n2WN5R_Dr9jtUe2iTDUpk3giC3cXxw8RaLgPFselE&dib_tag=se&keywords=organic+food+products&qid=1758821518&sr=8-14,https://m.media-amazon.com/images/I/51iOARQKDsL._AC_UL320_.jpg,,4.2,,2025-09-25 23:01:59,,
Unknown Product,,229.0,,,,,,,,amazon,,https://www.amazon.in/Organic-Tattva-Arhar-Tur-Dal/dp/B00M57ULF0/ref=sr_1_15?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRkBByudUv_LgXTGb0rMHitwghpq4-TzwfFtuXxlYoz4OCRike2DfnEJ1x1gJsQvTfqoTdlVx5-MPvgEjFpTjPJpX14kvLAB9gqCeAb1TYWdQDTHL1736vZ0A7ji4jQTuD8li862F-YT281gS0qcjsamvhFf_D-bTndB_zivcpSkDdtHclB_om7NijrUWxkPY5-4SwoioKW6OSqTFW7iYNz2pYHzxw0W88jwuQFhE_NybCJgHghkYsutkqqN9JoHJtysxV_4AGoJ-rkBmjkjr73k.4_n2WN5R_Dr9jtUe2iTDUpk3giC3cXxw8RaLgPFselE&dib_tag=se&keywords=organic+food+products&qid=1758821518&sr=8-15,https://m.media-amazon.com/images/I/51jdG2FgEJL._AC_UL320_.jpg,,4.4,,2025-09-25 23:01:59,,
Unknown Product,,205.0,,,,,,,,amazon,,https://www.amazon.in/Kokos-Natural-Natir%C3%A8l-Banana-Flour/dp/B01I4QFL7S/ref=sr_1_16?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRkBByudUv_LgXTGb0rMHitwghpq4-TzwfFtuXxlYoz4OCRike2DfnEJ1x1gJsQvTfqoTdlVx5-MPvgEjFpTjPJpX14kvLAB9gqCeAb1TYWdQDTHL1736vZ0A7ji4jQTuD8li862F-YT281gS0qcjsamvhFf_D-bTndB_zivcpSkDdtHclB_om7NijrUWxkPY5-4SwoioKW6OSqTFW7iYNz2pYHzxw0W88jwuQFhE_NybCJgHghkYsutkqqN9JoHJtysxV_4AGoJ-rkBmjkjr73k.4_n2WN5R_Dr9jtUe2iTDUpk3giC3cXxw8RaLgPFselE&dib_tag=se&keywords=organic+food+products&qid=1758821518&sr=8-16,https://m.media-amazon.com/images/I/61nN6EsbhSL._AC_UL320_.jpg,,4.2,,2025-09-25 23:01:59,,
Unknown Product,,459.0,,,,,,,,amazon,,https://www.amazon.in/Indigenous-Unprocessed-Unfiltered-Unpasteurized-Disorders/dp/B07H5PVCH7/ref=sr_1_17?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRkBByudUv_LgXTGb0rMHitwghpq4-TzwfFtuXxlYoz4OCRike2DfnEJ1x1gJsQvTfqoTdlVx5-MPvgEjFpTjPJpX14kvLAB9gqCeAb1TYWdQDTHL1736vZ0A7ji4jQTuD8li862F-YT281gS0qcjsamvhFf_D-bTndB_zivcpSkDdtHclB_om7NijrUWxkPY5-4SwoioKW6OSqTFW7iYNz2pYHzxw0W88jwuQFhE_NybCJgHghkYsutkqqN9JoHJtysxV_4AGoJ-rkBmjkjr73k.4_n2WN5R_Dr9jtUe2iTDUpk3giC3cXxw8RaLgPFselE&dib_tag=se&keywords=organic+food+products&qid=1758821518&sr=8-17,https://m.media-amazon.com/images/I/518ikxnD0DL._AC_UL320_.jpg,,4.2,,2025-09-25 23:01:59,,
Unknown Product,,,,,,,,,,amazon,,https://www.amazon.in/Aashirvaad-Organic-Arhar-Tur-Split/dp/B08JC8YTT6/ref=sr_1_18?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRkBByudUv_LgXTGb0rMHitwghpq4-TzwfFtuXxlYoz4OCRike2DfnEJ1x1gJsQvTfqoTdlVx5-MPvgEjFpTjPJpX14kvLAB9gqCeAb1TYWdQDTHL1736vZ0A7ji4jQTuD8li862F-YT281gS0qcjsamvhFf_D-bTndB_zivcpSkDdtHclB_om7NijrUWxkPY5-4SwoioKW6OSqTFW7iYNz2pYHzxw0W88jwuQFhE_NybCJgHghkYsutkqqN9JoHJtysxV_4AGoJ-rkBmjkjr73k.4_n2WN5R_Dr9jtUe2iTDUpk3giC3cXxw8RaLgPFselE&dib_tag=se&keywords=organic+food+products&qid=1758821518&sr=8-18,https://m.media-amazon.com/images/I/81eI-SrtEeL._AC_UL320_.jpg,,4.4,,2025-09-25 23:01:59,,
Unknown Product,,565.0,,,,,,,,amazon,,https://www.amazon.in/TATA-Product-Parameters-Certified-Organically/dp/B009FV7VOS/ref=sr_1_19?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRkBByudUv_LgXTGb0rMHitwghpq4-TzwfFtuXxlYoz4OCRike2DfnEJ1x1gJsQvTfqoTdlVx5-MPvgEjFpTjPJpX14kvLAB9gqCeAb1TYWdQDTHL1736vZ0A7ji4jQTuD8li862F-YT281gS0qcjsamvhFf_D-bTndB_zivcpSkDdtHclB_om7NijrUWxkPY5-4SwoioKW6OSqTFW7iYNz2pYHzxw0W88jwuQFhE_NybCJgHghkYsutkqqN9JoHJtysxV_4AGoJ-rkBmjkjr73k.4_n2WN5R_Dr9jtUe2iTDUpk3giC3cXxw8RaLgPFselE&dib_tag=se&keywords=organic+food+products&qid=1758821518&sr=8-19,https://m.media-amazon.com/images/I/61H6nJqZZIL._AC_UL320_.jpg,,4.0,,2025-09-25 23:01:59,,
Unknown Product,,155.0,,,,,,,,amazon,,https://www.amazon.in/Conscious-Food-Organic-Chick-Kabuli/dp/B00M54HZB6/ref=sr_1_20?dib=eyJ2IjoiMSJ9.U6A63ZDAq39qlnYX0PIyRkBByudUv_LgXTGb0rMHitwghpq4-TzwfFtuXxlYoz4OCRike2DfnEJ1x1gJsQvTfqoTdlVx5-MPvgEjFpTjPJpX14kvLAB9gqCeAb1TYWdQDTHL1736vZ0A7ji4jQTuD8li862F-YT281gS0qcjsamvhFf_D-bTndB_zivcpSkDdtHclB_om7NijrUWxkPY5-4SwoioKW6OSqTFW7iYNz2pYHzxw0W88jwuQFhE_NybCJgHghkYsutkqqN9JoHJtysxV_4AGoJ-rkBmjkjr73k.4_n2WN5R_Dr9jtUe2iTDUpk3giC3cXxw8RaLgPFselE&dib_tag=se&keywords=organic+food+products&qid=1758821518&sr=8-20,https://m.media-amazon.com/images/I/61BwHCErHWL._AC_UL320_.jpg,,4.5,,2025-09-25 23:01:59,,
